radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
172.288211,0.249,9.337569,0.293,15.545,0.059,4,16.37,0.065,4,NA,NA,0,15.895,0.028,3,15.38,0.058,2,15.203,0.083,3,NA,NA,0,NA,NA,0
172.294803,0.116,9.328061,0.109,10.295,0.014,5,11.59,0.08,4,NA,NA,0,10.889,0.037,5,9.988,0.08,2,9.588,0.008,1,9.4,0.007,1,NA,NA,0
172.317502,0.829,9.354848,0.385,17.096,0.13,3,17.78,0.026,3,NA,NA,0,17.605,0.101,4,16.949,0.091,4,17.117,0.602,2,NA,NA,0,NA,NA,0
172.321389,0.508,9.192586,0.291,16.458,0.063,4,17.067,0.091,4,NA,NA,0,16.716,0.017,4,16.31,0.07,4,16.118,0.067,4,NA,NA,0,NA,NA,0
172.329644,0.625,9.156285,0.341,16.982,0.049,3,17.942,0.151,3,NA,NA,0,17.515,0.03,4,16.592,0.04,4,16.285,0.154,3,NA,NA,0,NA,NA,0
172.330799,0.549,9.141071,0.38,17.446,0.144,3,18.185,0.21,3,NA,NA,0,17.589,0.029,3,17.118,0.082,3,17.014,0.36,1,NA,NA,0,NA,NA,0
172.335855,0.438,9.173786,0.415,16.673,0.023,3,18.014,0.088,3,NA,NA,0,17.29,0.041,4,16.099,0.114,4,15.69,0.122,4,NA,NA,0,NA,NA,0
172.340893,0.195,9.309228,0.169,15.597,0.015,4,16.524,0.038,4,NA,NA,0,16.051,0.029,4,15.202,0.036,4,14.887,0.039,4,NA,NA,0,NA,NA,0
172.342607,0.103,9.284264,0.146,13.049,0.022,4,13.955,0.072,4,NA,NA,0,13.445,0.023,4,12.783,0.035,4,12.521,0.039,4,12.639,0.076,1,NA,NA,0
172.348581,0.224,9.140328,0.233,14.811,0.018,4,15.516,0.094,4,NA,NA,0,15.077,0.028,4,14.645,0.035,4,14.498,0.054,4,NA,NA,0,NA,NA,0
172.353907,0.599,9.096022,0.468,16.93,0.105,3,17.569,0.033,3,NA,NA,0,17.263,0.047,4,16.717,0.103,4,16.373,0.18,3,NA,NA,0,NA,NA,0
172.357686,0.195,9.382266,0.145,14.273,0.028,4,15.465,0.058,4,NA,NA,0,14.848,0.03,4,13.804,0.041,4,13.43,0.049,4,13.445,0.177,1,NA,NA,0
172.359941,0.285,9.11492,0.155,13.945,0.02,4,14.605,0.067,4,NA,NA,0,14.219,0.023,4,13.784,0.029,4,13.651,0.038,4,13.405,0.153,1,NA,NA,0
172.362579,0.185,9.099669,0.304,13.665,0.019,4,14.373,0.059,4,NA,NA,0,13.955,0.022,4,13.49,0.036,4,13.33,0.044,4,13.361,0.144,1,NA,NA,0
172.365105,0.713,9.264628,0.521,16.718,0.098,3,17.696,0.066,3,NA,NA,0,17.243,0.089,4,16.743,0.088,4,16.429,0.063,3,NA,NA,0,NA,NA,0
172.367589,0.488,9.335097,0.327,16.34,0.049,4,17.083,0.079,4,NA,NA,0,16.712,0.029,4,16.185,0.09,4,15.681,0.089,4,NA,NA,0,NA,NA,0
172.369027,0.168,9.240306,0.509,NA,NA,0,NA,NA,0,NA,NA,0,18.194,0.167,1,17.044,0.152,1,16.396,0.215,1,NA,NA,0,NA,NA,0
172.371417,0.175,9.325538,0.12,15.274,0.03,4,15.872,0.095,4,NA,NA,0,15.497,0.01,4,15.105,0.01,4,14.946,0.081,4,NA,NA,0,NA,NA,0
172.37465,0.514,9.175774,0.43,NA,NA,0,NA,NA,0,NA,NA,0,18.109,0.145,3,16.748,0.046,3,15.873,0.132,3,NA,NA,0,NA,NA,0
172.374808,0.137,9.354064,0.092,12.406,0.018,4,13.07,0.068,4,NA,NA,0,12.671,0.03,4,12.219,0.034,4,12.085,0.049,4,12.021,0.048,1,NA,NA,0
172.37616,0.69,9.214598,0.462,NA,NA,0,NA,NA,0,NA,NA,0,18.035,0.113,3,16.953,0.03,3,16.279,0.015,2,NA,NA,0,NA,NA,0
172.377483,0.183,9.386696,0.383,15.649,0.019,4,16.951,0.03,4,NA,NA,0,16.273,0.05,4,15.096,0.034,4,14.601,0.063,4,NA,NA,0,NA,NA,0
172.382381,0.049,9.159347,0.344,16.617,0.095,1,17.447,0.137,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
172.382408,0.392,9.244475,0.316,16.337,0.064,4,17.049,0.058,4,NA,NA,0,16.588,0.042,4,16.143,0.033,4,16.036,0.141,4,NA,NA,0,NA,NA,0
172.387366,0.56,9.360049,0.298,NA,NA,0,NA,NA,0,NA,NA,0,18.149,0.036,3,16.709,0.06,3,15.668,0.094,3,NA,NA,0,NA,NA,0
172.390677,0.505,9.143254,0.296,NA,NA,0,NA,NA,0,NA,NA,0,17.88,0.116,3,16.765,0.053,3,16.226,0.126,2,NA,NA,0,NA,NA,0
172.395233,0.419,9.13191,0.519,16.788,0.141,2,17.962,0.127,2,NA,NA,0,17.504,0.049,4,16.182,0.109,4,15.493,0.129,4,NA,NA,0,NA,NA,0
172.395629,0.748,9.23269,0.654,17.173,0.149,1,18.319,0.271,1,NA,NA,0,17.882,0.158,4,16.906,0.062,4,16.195,0.18,1,NA,NA,0,NA,NA,0
172.39984,0.275,9.369306,0.306,15.141,0.02,4,15.73,0.076,4,NA,NA,0,15.37,0.036,4,15.017,0.039,4,14.914,0.025,4,NA,NA,0,NA,NA,0
